0,30.217,-7.98
0.033,27.387,-9.953
0.067,23.681,-11.683
0.1,17.381,-13.721
0.133,13.786,-14.267
0.167,11.272,-14.26
0.2,7.834,-14.013
0.233,4.384,-13.403
0.267,1.223,-12.424
0.3,-1.775,-11.013
0.333,-4.595,-9.281
0.367,-7.054,-7.311
0.4,-9.136,-5.289
0.433,-10.928,-3.026
0.467,-12.383,-0.552
0.5,-13.462,2.025
0.533,-14.227,4.704
0.566,-14.796,7.44
0.6,-15.04,10.157
0.633,-14.925,12.865
0.666,-14.528,15.589
0.7,-13.818,18.278
0.733,-12.869,20.794
0.766,-11.77,23.069
0.8,-10.61,25.248
0.833,-9.098,27.245
0.866,-7.457,29.057
0.901,-5.783,30.702
0.933,-4.085,32.284
0.966,-2.23,33.731
1,-0.29,35.097
1.033,1.865,36.283
1.066,4.251,37.259
1.1,6.751,38.038
1.133,9.47,38.584
1.166,12.024,38.975
1.2,14.934,39.057
1.233,17.698,39.029
1.266,20.369,38.757
1.3,23.017,38.344
1.333,25.343,37.864
1.366,27.733,37.253
1.399,30.192,36.477
1.433,32.48,35.678
1.466,35.057,34.622
1.499,37.396,33.53
1.533,39.84,32.3
